venta,hora_id,cliente_id,empleado_id,tienda_id,promocion_id,precio_de_venta_por_unidad,unidades_vendidas,ganancia_por_unidad
1,1577,49,31,38,11,0.056,3676009.9285714286,0.9999997279659143
2,637,42,35,26,1,19.69,10487.739207719655,0.10496236663397394
3,635,46,32,21,1,17.01,19373.852439741328,0.10496695744062276
4,1087,56,30,20,11,0.042,4241096.238095238,0.9999997642119056
5,880,47,25,38,1,15.72,23635.95006361323,0.10496793447392688
6,898,55,29,38,2,15.63,35429.11068458093,0.09889830738031302
7,1342,58,17,40,11,0.045,2223467.666666667,0.9999995502520612
8,889,29,27,40,11,0.046,5381740.130434782,0.9999998141864944
9,1266,43,23,39,11,0.041,1968586.3658536584,0.999999492021271
10,676,47,21,36,1,15.01,20921.75416389074,0.10496735831133502
11,957,43,15,30,11,0.052,2283270.230769231,0.9999995620316918
12,951,58,22,37,11,0.042,2185536.714285714,0.9999995424464877
13,600,59,27,36,1,18.56,13314.983566810346,0.1049644919125194
14,486,51,33,36,11,0.058,2050276.8620689653,0.9999995122609934
15,333,44,24,34,1,16.08,5786.865360696518,0.1049542359259601
16,1379,73,25,23,1,16.34,11298.878212974298,0.1049630851775398
17,1116,50,23,28,1,16.22,11586.450678175093,0.10496331576547567
18,784,46,26,27,11,0.044,2437614.6363636367,0.9999995897628833
19,1013,59,22,32,1,17.56,25015.07630979499,0.10496817932620771
20,1105,38,26,37,11,0.045,1329578.7777777778,0.9999992478820987
21,1082,70,27,26,1,18.7,646.6473262032086,0.1048100424195387
22,923,50,11,28,11,0.052,1708270.2307692308,0.9999994146125233
23,1189,64,31,38,1,16.28,10306.492936117937,0.10496219061830998
24,1292,40,24,18,11,0.051,841177.4705882353,0.9999988111902245
25,416,56,26,25,1,19.2,8905.728645833335,0.10496058862860919
26,583,50,18,37,11,0.059,2530280.6610169495,0.9999996047869253
27,1079,43,26,34,11,0.045,1958912.1111111112,0.9999994895125747
28,885,42,33,38,11,0.047,3559766.9574468085,0.9999997190827343
29,1016,55,26,38,1,16.96,4792.964327830188,0.1049504743434433
30,516,47,24,29,11,0.048,4127198.9166666665,0.999999757704918
31,1334,36,27,33,1,16.2,4301.705246913581,0.10494797318749204
32,1689,48,24,41,1,17.16,14992.462121212122,0.10496537401370891
33,1224,68,20,23,1,17.53,14007.64318311466,0.10496488175502425
34,46,50,26,37,1,16.89,5501.138839550029,0.1049532937552572
35,811,43,27,33,11,0.048,1795813.5,0.9999994431493026
36,1517,49,21,33,1,19.69,7926.34560690706,0.10495913221361386
37,555,42,32,35,11,0.042,691620.0476190476,0.9999985541194136
38,1428,57,20,37,1,15.76,8116.656408629442,0.10495944273269923
39,662,39,19,33,1,16.78,3260.5101311084622,0.10494018061331321
40,475,55,25,39,11,0.06,577351.0,0.9999982679513849
41,957,41,22,33,11,0.054,844686.1851851852,0.9999988161283829
42,1118,57,26,36,11,0.045,1628267.6666666667,0.9999993858503609
43,1669,54,27,31,11,0.041,1623744.9024390243,0.999999384139714
44,734,43,18,37,2,15.07,36078.907100199074,0.09889835765678608
45,1329,36,32,27,11,0.052,4715001.0,0.9999997879109676
46,788,50,25,31,11,0.059,1635323.0338983051,0.9999993885000216
47,1061,63,21,22,11,0.058,1967621.6896551724,0.9999994917722216
48,903,48,19,33,1,17.52,571.1190068493152,0.10478857446103615
49,1027,62,16,34,1,15.75,5079.342857142858,0.10495170916372758
50,1119,52,27,28,1,17.12,5511.403329439252,0.10495332929363478
51,1276,49,22,33,11,0.055,846046.4545454546,0.9999988180318059
52,1016,56,24,38,2,16.56,33170.39009661836,0.09889811729314635
53,755,64,17,32,11,0.053,283284.0188679245,0.9999964699738305
54,1181,41,30,51,1,16.14,9308.31381660471,0.10496109841979812
55,968,51,33,40,11,0.046,4909261.869565218,0.9999997963033901
56,1392,63,19,41,1,19.39,18771.325425477047,0.10496678352418842
57,960,56,30,39,1,15.81,2747.139784946237,0.10493416417466454
58,852,43,20,21,1,16.51,16268.032404603271,0.104965923012553
59,496,42,22,30,1,19.16,11998.24869519833,0.10496362671579004
60,437,79,25,31,11,0.049,815460.1836734693,0.9999987736985569
61,548,28,17,40,1,16.78,5723.426102502979,0.10495403486226286
62,595,31,29,40,2,15.16,31932.39577836412,0.09889800169850917
63,1099,42,26,19,11,0.042,5116631.952380952,0.9999998045589346
