hora_id,hora_desc,dia_id
1,'0:00 1/1/2018',1
2,'1:00 1/1/2018',1
3,'2:00 1/1/2018',1
4,'3:00 1/1/2018',1
5,'4:00 1/1/2018',1
6,'5:00 1/1/2018',1
7,'6:00 1/1/2018',1
8,'7:00 1/1/2018',1
9,'8:00 1/1/2018',1
10,'9:00 1/1/2018',1
11,'10:00 1/1/2018',1
12,'11:00 1/1/2018',1
13,'12:00 1/1/2018',1
14,'13:00 1/1/2018',1
15,'14:00 1/1/2018',1
16,'15:00 1/1/2018',1
17,'16:00 1/1/2018',1
18,'17:00 1/1/2018',1
19,'18:00 1/1/2018',1
20,'19:00 1/1/2018',1
21,'20:00 1/1/2018',1
22,'21:00 1/1/2018',1
23,'22:00 1/1/2018',1
24,'23:00 1/1/2018',1
25,'0:00 2/1/2018',2
26,'1:00 2/1/2018',2
27,'2:00 2/1/2018',2
28,'3:00 2/1/2018',2
29,'4:00 2/1/2018',2
30,'5:00 2/1/2018',2
31,'6:00 2/1/2018',2
32,'7:00 2/1/2018',2
33,'8:00 2/1/2018',2
34,'9:00 2/1/2018',2
35,'10:00 2/1/2018',2
36,'11:00 2/1/2018',2
37,'12:00 2/1/2018',2
38,'13:00 2/1/2018',2
39,'14:00 2/1/2018',2
40,'15:00 2/1/2018',2
41,'16:00 2/1/2018',2
42,'17:00 2/1/2018',2
43,'18:00 2/1/2018',2
44,'19:00 2/1/2018',2
45,'20:00 2/1/2018',2
46,'21:00 2/1/2018',2
47,'22:00 2/1/2018',2
48,'23:00 2/1/2018',2
49,'0:00 3/1/2018',3
50,'1:00 3/1/2018',3
51,'2:00 3/1/2018',3
52,'3:00 3/1/2018',3
53,'4:00 3/1/2018',3
54,'5:00 3/1/2018',3
55,'6:00 3/1/2018',3
56,'7:00 3/1/2018',3
57,'8:00 3/1/2018',3
58,'9:00 3/1/2018',3
59,'10:00 3/1/2018',3
60,'11:00 3/1/2018',3
61,'12:00 3/1/2018',3
62,'13:00 3/1/2018',3
63,'14:00 3/1/2018',3
64,'15:00 3/1/2018',3
65,'16:00 3/1/2018',3
66,'17:00 3/1/2018',3
67,'18:00 3/1/2018',3
68,'19:00 3/1/2018',3
69,'20:00 3/1/2018',3
70,'21:00 3/1/2018',3
71,'22:00 3/1/2018',3
72,'23:00 3/1/2018',3
73,'0:00 4/1/2018',4
74,'1:00 4/1/2018',4
75,'2:00 4/1/2018',4
76,'3:00 4/1/2018',4
77,'4:00 4/1/2018',4
78,'5:00 4/1/2018',4
79,'6:00 4/1/2018',4
80,'7:00 4/1/2018',4
81,'8:00 4/1/2018',4
82,'9:00 4/1/2018',4
83,'10:00 4/1/2018',4
84,'11:00 4/1/2018',4
85,'12:00 4/1/2018',4
86,'13:00 4/1/2018',4
87,'14:00 4/1/2018',4
88,'15:00 4/1/2018',4
89,'16:00 4/1/2018',4
90,'17:00 4/1/2018',4
91,'18:00 4/1/2018',4
92,'19:00 4/1/2018',4
93,'20:00 4/1/2018',4
94,'21:00 4/1/2018',4
95,'22:00 4/1/2018',4
96,'23:00 4/1/2018',4
97,'0:00 5/1/2018',5
98,'1:00 5/1/2018',5
99,'2:00 5/1/2018',5
100,'3:00 5/1/2018',5
101,'4:00 5/1/2018',5
102,'5:00 5/1/2018',5
103,'6:00 5/1/2018',5
104,'7:00 5/1/2018',5
105,'8:00 5/1/2018',5
106,'9:00 5/1/2018',5
107,'10:00 5/1/2018',5
108,'11:00 5/1/2018',5
109,'12:00 5/1/2018',5
110,'13:00 5/1/2018',5
111,'14:00 5/1/2018',5
112,'15:00 5/1/2018',5
113,'16:00 5/1/2018',5
114,'17:00 5/1/2018',5
115,'18:00 5/1/2018',5
116,'19:00 5/1/2018',5
117,'20:00 5/1/2018',5
118,'21:00 5/1/2018',5
119,'22:00 5/1/2018',5
120,'23:00 5/1/2018',5
121,'0:00 6/1/2018',6
122,'1:00 6/1/2018',6
123,'2:00 6/1/2018',6
124,'3:00 6/1/2018',6
125,'4:00 6/1/2018',6
126,'5:00 6/1/2018',6
127,'6:00 6/1/2018',6
128,'7:00 6/1/2018',6
129,'8:00 6/1/2018',6
130,'9:00 6/1/2018',6
131,'10:00 6/1/2018',6
132,'11:00 6/1/2018',6
133,'12:00 6/1/2018',6
134,'13:00 6/1/2018',6
135,'14:00 6/1/2018',6
136,'15:00 6/1/2018',6
137,'16:00 6/1/2018',6
138,'17:00 6/1/2018',6
139,'18:00 6/1/2018',6
140,'19:00 6/1/2018',6
141,'20:00 6/1/2018',6
142,'21:00 6/1/2018',6
143,'22:00 6/1/2018',6
144,'23:00 6/1/2018',6
145,'0:00 7/1/2018',7
146,'1:00 7/1/2018',7
147,'2:00 7/1/2018',7
148,'3:00 7/1/2018',7
149,'4:00 7/1/2018',7
150,'5:00 7/1/2018',7
151,'6:00 7/1/2018',7
152,'7:00 7/1/2018',7
153,'8:00 7/1/2018',7
154,'9:00 7/1/2018',7
155,'10:00 7/1/2018',7
156,'11:00 7/1/2018',7
157,'12:00 7/1/2018',7
158,'13:00 7/1/2018',7
159,'14:00 7/1/2018',7
160,'15:00 7/1/2018',7
161,'16:00 7/1/2018',7
162,'17:00 7/1/2018',7
163,'18:00 7/1/2018',7
164,'19:00 7/1/2018',7
165,'20:00 7/1/2018',7
166,'21:00 7/1/2018',7
167,'22:00 7/1/2018',7
168,'23:00 7/1/2018',7
169,'0:00 8/1/2018',8
170,'1:00 8/1/2018',8
171,'2:00 8/1/2018',8
172,'3:00 8/1/2018',8
173,'4:00 8/1/2018',8
174,'5:00 8/1/2018',8
175,'6:00 8/1/2018',8
176,'7:00 8/1/2018',8
177,'8:00 8/1/2018',8
178,'9:00 8/1/2018',8
179,'10:00 8/1/2018',8
180,'11:00 8/1/2018',8
181,'12:00 8/1/2018',8
182,'13:00 8/1/2018',8
183,'14:00 8/1/2018',8
184,'15:00 8/1/2018',8
185,'16:00 8/1/2018',8
186,'17:00 8/1/2018',8
187,'18:00 8/1/2018',8
188,'19:00 8/1/2018',8
189,'20:00 8/1/2018',8
190,'21:00 8/1/2018',8
191,'22:00 8/1/2018',8
192,'23:00 8/1/2018',8
193,'0:00 9/1/2018',9
194,'1:00 9/1/2018',9
195,'2:00 9/1/2018',9
196,'3:00 9/1/2018',9
197,'4:00 9/1/2018',9
198,'5:00 9/1/2018',9
199,'6:00 9/1/2018',9
200,'7:00 9/1/2018',9
201,'8:00 9/1/2018',9
202,'9:00 9/1/2018',9
203,'10:00 9/1/2018',9
204,'11:00 9/1/2018',9
205,'12:00 9/1/2018',9
206,'13:00 9/1/2018',9
207,'14:00 9/1/2018',9
208,'15:00 9/1/2018',9
209,'16:00 9/1/2018',9
210,'17:00 9/1/2018',9
211,'18:00 9/1/2018',9
212,'19:00 9/1/2018',9
213,'20:00 9/1/2018',9
214,'21:00 9/1/2018',9
215,'22:00 9/1/2018',9
216,'23:00 9/1/2018',9
217,'0:00 10/1/2018',10
218,'1:00 10/1/2018',10
219,'2:00 10/1/2018',10
220,'3:00 10/1/2018',10
221,'4:00 10/1/2018',10
222,'5:00 10/1/2018',10
223,'6:00 10/1/2018',10
224,'7:00 10/1/2018',10
225,'8:00 10/1/2018',10
226,'9:00 10/1/2018',10
227,'10:00 10/1/2018',10
228,'11:00 10/1/2018',10
229,'12:00 10/1/2018',10
230,'13:00 10/1/2018',10
231,'14:00 10/1/2018',10
232,'15:00 10/1/2018',10
233,'16:00 10/1/2018',10
234,'17:00 10/1/2018',10
235,'18:00 10/1/2018',10
236,'19:00 10/1/2018',10
237,'20:00 10/1/2018',10
238,'21:00 10/1/2018',10
239,'22:00 10/1/2018',10
240,'23:00 10/1/2018',10
241,'0:00 11/1/2018',11
242,'1:00 11/1/2018',11
243,'2:00 11/1/2018',11
244,'3:00 11/1/2018',11
245,'4:00 11/1/2018',11
246,'5:00 11/1/2018',11
247,'6:00 11/1/2018',11
248,'7:00 11/1/2018',11
249,'8:00 11/1/2018',11
250,'9:00 11/1/2018',11
251,'10:00 11/1/2018',11
252,'11:00 11/1/2018',11
253,'12:00 11/1/2018',11
254,'13:00 11/1/2018',11
255,'14:00 11/1/2018',11
256,'15:00 11/1/2018',11
257,'16:00 11/1/2018',11
258,'17:00 11/1/2018',11
259,'18:00 11/1/2018',11
260,'19:00 11/1/2018',11
261,'20:00 11/1/2018',11
262,'21:00 11/1/2018',11
263,'22:00 11/1/2018',11
264,'23:00 11/1/2018',11
265,'0:00 12/1/2018',12
266,'1:00 12/1/2018',12
267,'2:00 12/1/2018',12
268,'3:00 12/1/2018',12
269,'4:00 12/1/2018',12
270,'5:00 12/1/2018',12
271,'6:00 12/1/2018',12
272,'7:00 12/1/2018',12
273,'8:00 12/1/2018',12
274,'9:00 12/1/2018',12
275,'10:00 12/1/2018',12
276,'11:00 12/1/2018',12
277,'12:00 12/1/2018',12
278,'13:00 12/1/2018',12
279,'14:00 12/1/2018',12
280,'15:00 12/1/2018',12
281,'16:00 12/1/2018',12
282,'17:00 12/1/2018',12
283,'18:00 12/1/2018',12
284,'19:00 12/1/2018',12
285,'20:00 12/1/2018',12
286,'21:00 12/1/2018',12
287,'22:00 12/1/2018',12
288,'23:00 12/1/2018',12
289,'0:00 13/1/2018',13
290,'1:00 13/1/2018',13
291,'2:00 13/1/2018',13
292,'3:00 13/1/2018',13
293,'4:00 13/1/2018',13
294,'5:00 13/1/2018',13
295,'6:00 13/1/2018',13
296,'7:00 13/1/2018',13
297,'8:00 13/1/2018',13
298,'9:00 13/1/2018',13
299,'10:00 13/1/2018',13
300,'11:00 13/1/2018',13
301,'12:00 13/1/2018',13
302,'13:00 13/1/2018',13
303,'14:00 13/1/2018',13
304,'15:00 13/1/2018',13
305,'16:00 13/1/2018',13
306,'17:00 13/1/2018',13
307,'18:00 13/1/2018',13
308,'19:00 13/1/2018',13
309,'20:00 13/1/2018',13
310,'21:00 13/1/2018',13
311,'22:00 13/1/2018',13
312,'23:00 13/1/2018',13
313,'0:00 14/1/2018',14
314,'1:00 14/1/2018',14
315,'2:00 14/1/2018',14
316,'3:00 14/1/2018',14
317,'4:00 14/1/2018',14
318,'5:00 14/1/2018',14
319,'6:00 14/1/2018',14
320,'7:00 14/1/2018',14
321,'8:00 14/1/2018',14
322,'9:00 14/1/2018',14
323,'10:00 14/1/2018',14
324,'11:00 14/1/2018',14
325,'12:00 14/1/2018',14
326,'13:00 14/1/2018',14
327,'14:00 14/1/2018',14
328,'15:00 14/1/2018',14
329,'16:00 14/1/2018',14
330,'17:00 14/1/2018',14
331,'18:00 14/1/2018',14
332,'19:00 14/1/2018',14
333,'20:00 14/1/2018',14
334,'21:00 14/1/2018',14
335,'22:00 14/1/2018',14
336,'23:00 14/1/2018',14
337,'0:00 15/1/2018',15
338,'1:00 15/1/2018',15
339,'2:00 15/1/2018',15
340,'3:00 15/1/2018',15
341,'4:00 15/1/2018',15
342,'5:00 15/1/2018',15
343,'6:00 15/1/2018',15
344,'7:00 15/1/2018',15
345,'8:00 15/1/2018',15
346,'9:00 15/1/2018',15
347,'10:00 15/1/2018',15
348,'11:00 15/1/2018',15
349,'12:00 15/1/2018',15
350,'13:00 15/1/2018',15
351,'14:00 15/1/2018',15
352,'15:00 15/1/2018',15
353,'16:00 15/1/2018',15
354,'17:00 15/1/2018',15
355,'18:00 15/1/2018',15
356,'19:00 15/1/2018',15
357,'20:00 15/1/2018',15
358,'21:00 15/1/2018',15
359,'22:00 15/1/2018',15
360,'23:00 15/1/2018',15
361,'0:00 16/1/2018',16
362,'1:00 16/1/2018',16
363,'2:00 16/1/2018',16
364,'3:00 16/1/2018',16
365,'4:00 16/1/2018',16
366,'5:00 16/1/2018',16
367,'6:00 16/1/2018',16
368,'7:00 16/1/2018',16
369,'8:00 16/1/2018',16
370,'9:00 16/1/2018',16
371,'10:00 16/1/2018',16
372,'11:00 16/1/2018',16
373,'12:00 16/1/2018',16
374,'13:00 16/1/2018',16
375,'14:00 16/1/2018',16
376,'15:00 16/1/2018',16
377,'16:00 16/1/2018',16
378,'17:00 16/1/2018',16
379,'18:00 16/1/2018',16
380,'19:00 16/1/2018',16
381,'20:00 16/1/2018',16
382,'21:00 16/1/2018',16
383,'22:00 16/1/2018',16
384,'23:00 16/1/2018',16
385,'0:00 17/1/2018',17
386,'1:00 17/1/2018',17
387,'2:00 17/1/2018',17
388,'3:00 17/1/2018',17
389,'4:00 17/1/2018',17
390,'5:00 17/1/2018',17
391,'6:00 17/1/2018',17
392,'7:00 17/1/2018',17
393,'8:00 17/1/2018',17
394,'9:00 17/1/2018',17
395,'10:00 17/1/2018',17
396,'11:00 17/1/2018',17
397,'12:00 17/1/2018',17
398,'13:00 17/1/2018',17
399,'14:00 17/1/2018',17
400,'15:00 17/1/2018',17
401,'16:00 17/1/2018',17
402,'17:00 17/1/2018',17
403,'18:00 17/1/2018',17
404,'19:00 17/1/2018',17
405,'20:00 17/1/2018',17
406,'21:00 17/1/2018',17
407,'22:00 17/1/2018',17
408,'23:00 17/1/2018',17
409,'0:00 18/1/2018',18
410,'1:00 18/1/2018',18
411,'2:00 18/1/2018',18
412,'3:00 18/1/2018',18
413,'4:00 18/1/2018',18
414,'5:00 18/1/2018',18
415,'6:00 18/1/2018',18
416,'7:00 18/1/2018',18
417,'8:00 18/1/2018',18
418,'9:00 18/1/2018',18
419,'10:00 18/1/2018',18
420,'11:00 18/1/2018',18
421,'12:00 18/1/2018',18
422,'13:00 18/1/2018',18
423,'14:00 18/1/2018',18
424,'15:00 18/1/2018',18
425,'16:00 18/1/2018',18
426,'17:00 18/1/2018',18
427,'18:00 18/1/2018',18
428,'19:00 18/1/2018',18
429,'20:00 18/1/2018',18
430,'21:00 18/1/2018',18
431,'22:00 18/1/2018',18
432,'23:00 18/1/2018',18
433,'0:00 19/1/2018',19
434,'1:00 19/1/2018',19
435,'2:00 19/1/2018',19
436,'3:00 19/1/2018',19
437,'4:00 19/1/2018',19
438,'5:00 19/1/2018',19
439,'6:00 19/1/2018',19
440,'7:00 19/1/2018',19
441,'8:00 19/1/2018',19
442,'9:00 19/1/2018',19
443,'10:00 19/1/2018',19
444,'11:00 19/1/2018',19
445,'12:00 19/1/2018',19
446,'13:00 19/1/2018',19
447,'14:00 19/1/2018',19
448,'15:00 19/1/2018',19
449,'16:00 19/1/2018',19
450,'17:00 19/1/2018',19
451,'18:00 19/1/2018',19
452,'19:00 19/1/2018',19
453,'20:00 19/1/2018',19
454,'21:00 19/1/2018',19
455,'22:00 19/1/2018',19
456,'23:00 19/1/2018',19
457,'0:00 20/1/2018',20
458,'1:00 20/1/2018',20
459,'2:00 20/1/2018',20
460,'3:00 20/1/2018',20
461,'4:00 20/1/2018',20
462,'5:00 20/1/2018',20
463,'6:00 20/1/2018',20
464,'7:00 20/1/2018',20
465,'8:00 20/1/2018',20
466,'9:00 20/1/2018',20
467,'10:00 20/1/2018',20
468,'11:00 20/1/2018',20
469,'12:00 20/1/2018',20
470,'13:00 20/1/2018',20
471,'14:00 20/1/2018',20
472,'15:00 20/1/2018',20
473,'16:00 20/1/2018',20
474,'17:00 20/1/2018',20
475,'18:00 20/1/2018',20
476,'19:00 20/1/2018',20
477,'20:00 20/1/2018',20
478,'21:00 20/1/2018',20
479,'22:00 20/1/2018',20
480,'23:00 20/1/2018',20
481,'0:00 21/1/2018',21
482,'1:00 21/1/2018',21
483,'2:00 21/1/2018',21
484,'3:00 21/1/2018',21
485,'4:00 21/1/2018',21
486,'5:00 21/1/2018',21
487,'6:00 21/1/2018',21
488,'7:00 21/1/2018',21
489,'8:00 21/1/2018',21
490,'9:00 21/1/2018',21
491,'10:00 21/1/2018',21
492,'11:00 21/1/2018',21
493,'12:00 21/1/2018',21
494,'13:00 21/1/2018',21
495,'14:00 21/1/2018',21
496,'15:00 21/1/2018',21
497,'16:00 21/1/2018',21
498,'17:00 21/1/2018',21
499,'18:00 21/1/2018',21
500,'19:00 21/1/2018',21
501,'20:00 21/1/2018',21
502,'21:00 21/1/2018',21
503,'22:00 21/1/2018',21
504,'23:00 21/1/2018',21
505,'0:00 22/1/2018',22
506,'1:00 22/1/2018',22
507,'2:00 22/1/2018',22
508,'3:00 22/1/2018',22
509,'4:00 22/1/2018',22
510,'5:00 22/1/2018',22
511,'6:00 22/1/2018',22
512,'7:00 22/1/2018',22
513,'8:00 22/1/2018',22
514,'9:00 22/1/2018',22
515,'10:00 22/1/2018',22
516,'11:00 22/1/2018',22
517,'12:00 22/1/2018',22
518,'13:00 22/1/2018',22
519,'14:00 22/1/2018',22
520,'15:00 22/1/2018',22
521,'16:00 22/1/2018',22
522,'17:00 22/1/2018',22
523,'18:00 22/1/2018',22
524,'19:00 22/1/2018',22
525,'20:00 22/1/2018',22
526,'21:00 22/1/2018',22
527,'22:00 22/1/2018',22
528,'23:00 22/1/2018',22
529,'0:00 23/1/2018',23
530,'1:00 23/1/2018',23
531,'2:00 23/1/2018',23
532,'3:00 23/1/2018',23
533,'4:00 23/1/2018',23
534,'5:00 23/1/2018',23
535,'6:00 23/1/2018',23
536,'7:00 23/1/2018',23
537,'8:00 23/1/2018',23
538,'9:00 23/1/2018',23
539,'10:00 23/1/2018',23
540,'11:00 23/1/2018',23
