id, mes_desc , año
1," ""Enero 2018""",2018
2," ""Febrero 2018""",2018
3," ""Marzo 2018""",2018
4," ""Abril 2018""",2018
5," ""Mayo 2018""",2018
6," ""Junio 2018""",2018
7," ""Julio 2018""",2018
8," ""Agosto 2018""",2018
9," ""Septiembre 2018""",2018
10," ""Octubre 2018""",2018
11," ""Noviembre 2018"" ",2018
12," ""Diciembre 2018""",2018
13," ""Enero 2019""",2019
14," ""Febrero 2019""",2019
15," ""Marzo 2019""",2019
16," ""Abril 2019""",2019
17," ""Mayo 2019""",2019
18," ""Junio 2019""",2019
19," ""Julio 2019""",2019
20," ""Agosto 2019""",2019
21," ""Septiembre 2019""",2019
22," ""Octubre 2019""",2019
23," ""Noviembre 2019"" ",2019
24," ""Diciembre 2019""",2019
25," ""Enero 2020""",2020
26," ""Febrero 2020""",2020
27," ""Marzo 2020""",2020
28," ""Abril 2020""",2020
29," ""Mayo 2020""",2020
30," ""Junio 2020""",2020
31," ""Julio 2020""",2020
32," ""Agosto 2020""",2020
33," ""Septiembre 2020""",2020
34," ""Octubre 2020""",2020
35," ""Noviembre 2020"" ",2020
36," ""Diciembre 2020""",2020
