estado_desc,mes_desc,ganancia_total
Baja California," ""Enero 2018""",9950155.75310454
Sinaloa," ""Enero 2018""",7217589.60681048
Yucatan," ""Enero 2018""",1408994.91006506
Veracruz de Ignacio de la Llave," ""Enero 2018""",4888718.2084224
Tamaulipas," ""Enero 2018""",5524327.69746048
Chihuahua," ""Enero 2018""",13989377.1826192
Campeche," ""Enero 2018""",7926210.13014049
Jalisco," ""Enero 2018""",2292753.33680035
Coahuila de Zaragoza," ""Enero 2018""",17928550.477037
Quintana Roo," ""Enero 2018""",4406605.43859649
Nuevo Leon," ""Febrero 2018""",845448.429586878
Quintana Roo," ""Febrero 2018""",11883988.7073263
Guanajuato," ""Febrero 2018""",2792109.96635828
Baja California Sur," ""Febrero 2018""",4043307.73809524
Campeche," ""Febrero 2018""",36244634.5010226
Sinaloa," ""Febrero 2018""",29349687.2093193
Jalisco," ""Febrero 2018""",25551163.1547224
Baja California," ""Febrero 2018""",64611307.0412763
Colima," ""Febrero 2018""",2350.74838362069
Chihuahua," ""Febrero 2018""",44745240.6137868
Tamaulipas," ""Febrero 2018""",34650866.7403893
Veracruz de Ignacio de la Llave," ""Febrero 2018""",20938420.0213023
Durango," ""Febrero 2018""",977.010842627014
Aguascalientes," ""Febrero 2018""",6861498.08650707
Yucatan," ""Febrero 2018""",24937648.8154547
Coahuila de Zaragoza," ""Febrero 2018""",39326613.3469814
Sinaloa," ""Marzo 2018""",36044534.9405457
Campeche," ""Marzo 2018""",30287101.1552391
Veracruz de Ignacio de la Llave," ""Marzo 2018""",40709555.4306127
Coahuila de Zaragoza," ""Marzo 2018""",33499079.4995379
Durango," ""Marzo 2018""",1689.55169392523
Chiapas," ""Marzo 2018""",8574961.46053887
Estado de Mexico," ""Marzo 2018""",3812450.98039216
Tamaulipas," ""Marzo 2018""",44148730.5920895
Quintana Roo," ""Marzo 2018""",49601738.6475845
Yucatan," ""Marzo 2018""",42830046.0877576
Baja California," ""Marzo 2018""",51683311.3354432
Baja California Sur," ""Marzo 2018""",4418416.26586899
Nuevo Leon," ""Marzo 2018""",3358904.76190476
Jalisco," ""Marzo 2018""",14844003.7728242
Aguascalientes," ""Marzo 2018""",9436347.02162284
Chihuahua," ""Marzo 2018""",75272151.8887139
Coahuila de Zaragoza," ""Abril 2018""",54037185.5146336
Chiapas," ""Abril 2018""",6824855.24493202
Baja California," ""Abril 2018""",44620323.6350671
Tamaulipas," ""Abril 2018""",48499900.3270562
Aguascalientes," ""Abril 2018""",6242182.20415642
Yucatan," ""Abril 2018""",29359030.1700042
Veracruz de Ignacio de la Llave," ""Abril 2018""",32438102.7304302
Chihuahua," ""Abril 2018""",64799494.9069841
Campeche," ""Abril 2018""",61412435.5679509
Jalisco," ""Abril 2018""",29009042.450776
Baja California Sur," ""Abril 2018""",9202294.40782047
Sinaloa," ""Abril 2018""",55500586.5631505
Quintana Roo," ""Abril 2018""",19350174.4154567
Tamaulipas," ""Mayo 2018""",75487344.348653
Sinaloa," ""Mayo 2018""",39069168.4450752
Campeche," ""Mayo 2018""",56397636.8990802
Aguascalientes," ""Mayo 2018""",13799865.7745903
Chihuahua," ""Mayo 2018""",69902796.7200597
Baja California," ""Mayo 2018""",52482165.882468
Colima," ""Mayo 2018""",3564088.83784711
Veracruz de Ignacio de la Llave," ""Mayo 2018""",50107921.1303091
Chiapas," ""Mayo 2018""",11652124.6379253
Coahuila de Zaragoza," ""Mayo 2018""",62866516.8842311
Quintana Roo," ""Mayo 2018""",56068485.4493248
Yucatan," ""Mayo 2018""",45035693.632337
Estado de Mexico," ""Mayo 2018""",1929000
Jalisco," ""Mayo 2018""",22999520.4513129
Baja California Sur," ""Mayo 2018""",25362115.7090557
Nuevo Leon," ""Mayo 2018""",1701928.77080951
Yucatan," ""Junio 2018""",53550842.7366146
Quintana Roo," ""Junio 2018""",39011847.8122852
Jalisco," ""Junio 2018""",38447463.7854058
Baja California Sur," ""Junio 2018""",6776328.75457876
Campeche," ""Junio 2018""",78017393.8395738
Veracruz de Ignacio de la Llave," ""Junio 2018""",27201286.6223627
Tamaulipas," ""Junio 2018""",85963579.1754887
Chiapas," ""Junio 2018""",8233788.93157428
Durango," ""Junio 2018""",1489.18292682927
Baja California," ""Junio 2018""",50470446.6618496
Chihuahua," ""Junio 2018""",74983935.1039779
Coahuila de Zaragoza," ""Junio 2018""",73451712.2751736
Sinaloa," ""Junio 2018""",64555237.4487003
Aguascalientes," ""Junio 2018""",15479452.159552
Veracruz de Ignacio de la Llave," ""Julio 2018""",32238850.4538478
Tamaulipas," ""Julio 2018""",59953555.4244007
Sinaloa," ""Julio 2018""",44768894.7600948
Coahuila de Zaragoza," ""Julio 2018""",79110841.4739499
Chihuahua," ""Julio 2018""",23925975.5622734
Guerrero," ""Julio 2018""",2379178.57142857
Yucatan," ""Julio 2018""",29662879.390124
Campeche," ""Julio 2018""",59055883.8624225
Aguascalientes," ""Julio 2018""",7578985.03146523
Chiapas," ""Julio 2018""",6534770.83333333
Quintana Roo," ""Julio 2018""",33323390.6079388
Baja California," ""Julio 2018""",29789063.2961059
Baja California Sur," ""Julio 2018""",4655875.93864463
Jalisco," ""Julio 2018""",15502440.0185622
Veracruz de Ignacio de la Llave," ""Agosto 2018""",56359428.5771702
Campeche," ""Agosto 2018""",73371935.0583317
Yucatan," ""Agosto 2018""",39086628.0603307
Baja California," ""Agosto 2018""",40939773.4880059
Sinaloa," ""Agosto 2018""",49596511.1132544
Quintana Roo," ""Agosto 2018""",35721693.261645
Nuevo Leon," ""Agosto 2018""",3322439.37551018
Jalisco," ""Agosto 2018""",22592971.6662626
Tamaulipas," ""Agosto 2018""",55032429.8465693
Chiapas," ""Agosto 2018""",1398297.44184022
Aguascalientes," ""Agosto 2018""",11692518.3608459
Baja California Sur," ""Agosto 2018""",14287591.9303697
Chihuahua," ""Agosto 2018""",54025576.4438461
Coahuila de Zaragoza," ""Agosto 2018""",38587219.4926235
Baja California," ""Septiembre 2018""",47240745.7797289
